place_fips,city_name,state_fips,state_name,reform_name,reform_type,effective_date,baseline_wrluri
5327408,Longview city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.19
5328496,Issaquah city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.82
5329741,Shoreline city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.09
5330785,Yakima city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.33
5331624,University Place city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.14
5332626,Lake Stevens city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.0
5333275,Wenatchee city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.16
5334743,Mount Vernon city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.19
5335764,Tumwater city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.24
5336364,Des Moines city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.16
5337451,SeaTac city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.83
5338484,Pullman city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.79
5339892,Maple Valley city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.9
5340162,Kenmore city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.25
5341778,Mukilteo city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.97
5342910,Mercer Island city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.74
5343739,Camas city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.74
5344771,Oak Harbor city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.79
5345837,Covington city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.09
5346641,Woodinville city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.79
5347169,Bonney Lake city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.87
5348289,Battle Ground city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.87
5349296,Tukwila city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.1
3001949,Billings city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,0.47
3002571,Missoula city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,0.43
3003469,Great Falls city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,0.26
3004412,Bozeman city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,0.29
3005948,Butte-Silver Bow city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,0.45
3006186,Helena city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,0.01
3007798,Kalispell city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,-0.03
3008339,Havre city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,0.02
3009426,Anaconda city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,-0.01
3010900,Miles City city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,-0.03
3011440,Belgrade city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,0.04
3012961,Livingston city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,0.06
3013583,Laurel city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,-0.06
3014491,Whitefish city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,0.01
3015984,Lewistown city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,-0.06
3016499,Sidney city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,0.05
3017719,Columbia Falls city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,-0.02
3018039,Polson city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,-0.05
3019269,Hamilton city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,-0.04
3020651,Dillon city,30,Montana,SB323/SB528 Reform,ADU/Lot Split,2024-01-01,0.02
0801894,Aurora city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,1.2
0802385,Colorado Springs city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,1.22
0803653,Lakewood city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,1.25
0804354,Thornton city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,1.2
0805566,Arvada city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,1.19
0806071,Westminster city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,0.85
0807488,Pueblo city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,1.18
0808919,Centennial city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,0.75
0809463,Fort Collins city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,0.86
0810644,Greeley city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,1.02
0811837,Longmont city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,1.02
0812362,Loveland city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,0.83
0813430,Grand Junction city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,0.76
0814766,Commerce City city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,0.9
0815752,Parker city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,1.16
0816704,Brighton city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,0.89
0817738,Northglenn city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,0.7
0818691,Castle Rock city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,0.78
0819156,Broomfield city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,1.07
0820460,Englewood city,08,Colorado,SB24-106 ADU Reform,ADU/Lot Split,2024-08-01,1.18
2701096,St. Paul city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.83
2702684,Rochester city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.71
2703832,Duluth city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.51
2704445,Bloomington city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.61
2705790,Brooklyn Park city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.36
2706365,Plymouth city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.42
2707541,St. Cloud city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.76
2708032,Eagan city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.51
2709436,Woodbury city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.4
2710634,Maple Grove city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.67
2711454,Eden Prairie city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.3
2712212,Coon Rapids city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.35
2713905,Burnsville city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.61
2714649,Blaine city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.49
2715844,Lakeville city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.77
2716220,Minnetonka city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.59
2717808,Apple Valley city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.36
2718543,Edina city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.68
2719017,St. Louis Park city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.76
2720981,Moorhead city,27,Minnesota,ADU/Missing Middle,ADU/Lot Split,2021-01-01,0.37
4801166,Houston city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.62
4802675,San Antonio city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.69
4803471,Dallas city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.75
4804221,Fort Worth city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.6
4805047,El Paso city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.62
4806152,Plano city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.75
4807398,Lubbock city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.47
4808982,Laredo city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.37
4809509,Irving city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.31
4810349,Garland city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.44
4811749,Amarillo city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.24
4812512,Grand Prairie city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.13
4813666,McKinney city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.34
4814880,Frisco city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.33
4815223,Brownsville city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.18
4816906,Pasadena city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.1
4817776,Mesquite city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.35
4818108,Killeen city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.39
4819384,McAllen city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.24
4820984,Denton city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.34
4821224,Waco city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.42
4822549,Carrollton city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.32
4823130,Midland city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.42
4824876,Abilene city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.37
4825766,Beaumont city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.59
4826827,Round Rock city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.21
4827921,Odessa city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.56
4828090,Richardson city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.39
4829310,Pearland city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.33
4830970,College Station city,48,Texas,ADU Ordinance,ADU/Lot Split,2022-06-01,0.23
0401324,Mesa city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.97
0402425,Chandler city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,1.05
0403100,Scottsdale city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,1.03
0404884,Glendale city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,1.02
0405507,Gilbert city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.87
0406636,Tempe city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.9
0407497,Peoria city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.65
0408625,Surprise city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.73
0409374,Yuma city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.4
0410191,Goodyear city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.6
0411386,Buckeye city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.86
0412043,Avondale city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.72
0413929,Flagstaff city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.42
0414041,Casa Grande city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.66
0415969,Lake Havasu City city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.77
0416323,Maricopa city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.86
0417959,Prescott city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.39
0418225,San Luis city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.67
0419069,Bullhead City city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.5
0420772,Apache Junction city,04,Arizona,ADU Ordinance,ADU/Lot Split,2021-01-01,0.49
1201925,Jacksonville city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.95
1202091,Miami city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.92
1203847,Tampa city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,1.16
1204311,Orlando city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,1.09
1205197,St. Petersburg city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,1.01
1206393,Hialeah city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,1.04
1207364,Tallahassee city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.77
1208309,Port St. Lucie city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.61
1209448,Fort Lauderdale city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.99
1210121,Cape Coral city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.67
1211226,Pembroke Pines city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.99
1212744,Hollywood city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.78
1213257,Gainesville city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.88
1214911,Miramar city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.69
1215201,Coral Springs city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.61
1216758,Palm Bay city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.82
1217115,West Palm Beach city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.95
1218213,Clearwater city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.73
1219560,Lakeland city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.8
1220758,Pompano Beach city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.75
1221448,Davie city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.89
1222340,Boca Raton city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.78
1223313,Miami Gardens city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.8
1224627,Sunrise city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.86
1225637,Plantation city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.68
1226217,Deltona city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.54
1227409,Palm Coast city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.59
1228543,Largo city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.59
1229615,Deerfield Beach city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,0.94
1230723,Melbourne city,12,Florida,Live Local Act,Zoning Upzones,2023-07-01,1.0
3601552,Buffalo city,36,New York,Parking Minimum Elimination,Parking Reform,2017-01-01,1.57
0901428,Hartford city,09,Connecticut,Parking Minimum Elimination,Parking Reform,2017-09-01,1.59
0501026,Fayetteville city,05,Arkansas,Parking Minimum Elimination,Parking Reform,2019-09-01,0.38
0201463,Anchorage city,02,Alaska,Parking Minimum Elimination,Parking Reform,2022-10-01,0.47
2101516,Lexington city,21,Kentucky,Parking Minimum Elimination,Parking Reform,2022-11-01,0.68
2501091,Cambridge city,25,Massachusetts,Parking Minimum Elimination,Parking Reform,2021-09-01,1.58
1701427,Champaign city,17,Illinois,Parking Minimum Elimination,Parking Reform,2019-12-01,0.89
2601836,Ann Arbor city,26,Michigan,Parking Minimum Elimination,Parking Reform,2022-01-01,0.61
4501548,Greenville city,45,South Carolina,Parking Minimum Elimination,Parking Reform,2020-08-01,0.78
3701838,Durham city,37,North Carolina,Parking Minimum Elimination,Parking Reform,2019-06-01,0.54
5101889,Tysons city,51,Virginia,Parking Minimum Elimination,Parking Reform,2020-04-01,0.6
1801609,South Bend city,18,Indiana,Parking Minimum Elimination,Parking Reform,2021-02-01,0.55
1601118,Sandpoint city,16,Idaho,Parking Minimum Elimination,Parking Reform,2019-08-01,0.06
3602144,New York City city,36,New York,City of Yes,Comprehensive Reform,2024-12-01,2.08
5501416,Milwaukee city,55,Wisconsin,Growing MKE,Comprehensive Reform,2023-11-01,0.92
3901685,Columbus city,39,Ohio,Code Update,Comprehensive Reform,2023-06-01,0.85
1802078,Indianapolis city,18,Indiana,Indy Rezone,Comprehensive Reform,2022-09-01,0.72
2602025,Detroit city,26,Michigan,ADU Ordinance,ADU/Lot Split,2021-10-01,0.88
4201576,Pittsburgh city,42,Pennsylvania,ADU Legalization,ADU/Lot Split,2022-03-01,1.05
2401680,Baltimore city,24,Maryland,Transform Baltimore,Comprehensive Reform,2017-01-01,1.12
4202344,Philadelphia city,42,Pennsylvania,Zoning Code Update,Comprehensive Reform,2012-08-01,1.18
1101803,Washington city,11,District of Columbia,ADU Expansion,ADU/Lot Split,2021-07-01,1.42
5350722,Walla Walla city,53,Washington,ADU Reform,ADU/Lot Split,2021-04-01,0.65
4401598,Providence city,44,Rhode Island,Comprehensive Update,Comprehensive Reform,2022-12-01,1.15
2102145,Louisville city,21,Kentucky,Land Development Code,Comprehensive Reform,2019-03-01,0.78
2901622,Kansas City city,29,Missouri,KC Housing Trust,Zoning Upzones,2022-04-01,0.68
2902871,St. Louis city,29,Missouri,Form-Based Code,Comprehensive Reform,2020-11-01,0.82
3101665,Omaha city,31,Nebraska,Zoning Update,Comprehensive Reform,2023-09-01,0.62
5102017,Virginia Beach city,51,Virginia,Strategic Growth,Zoning Upzones,2022-07-01,0.92
3401821,Newark city,34,New Jersey,Land Use Update,Comprehensive Reform,2021-06-01,1.35
3402945,Jersey City city,34,New Jersey,Transit Village,Zoning Upzones,2020-09-01,1.28
2502605,Somerville city,25,Massachusetts,Union Square,Zoning Upzones,2019-05-01,1.55
5103580,Arlington city,51,Virginia,Missing Middle,Comprehensive Reform,2023-03-01,1.22
5104816,Alexandria city,51,Virginia,Zoning for Housing,Comprehensive Reform,2023-07-01,1.18
5105144,Richmond city,51,Virginia,RVA Green,Comprehensive Reform,2022-01-01,0.88
5106289,Norfolk city,51,Virginia,plaNorfolk,Comprehensive Reform,2021-09-01,0.75
5107088,Charlottesville city,51,Virginia,Comp Plan Update,Comprehensive Reform,2021-08-01,1.02
5001118,Burlington city,50,Vermont,ADU Ordinance,ADU/Lot Split,2020-03-01,1.12
2301956,Portland city,23,Maine,Recode Portland,Comprehensive Reform,2022-02-01,1.08
3301516,Manchester city,33,New Hampshire,Master Plan Update,Comprehensive Reform,2020-10-01,0.95
0902570,New Haven city,09,Connecticut,Plan of Conservation,Comprehensive Reform,2023-05-01,1.28
0903864,Stamford city,09,Connecticut,TOD Overlay,Zoning Upzones,2021-11-01,1.35
